product_name, price(PLN), camera(Mpix), ram(GB), storage(GB), diagonal(inch), waterproof
Smartfon Apple iPhone 8 128 GB Srebrny  (MX182CN/A),2 728.95 z³,12,2,128,4.7",IPXX
Smartfon Apple iPhone 8 64 GB Czerwony ,2 728.95 z³,12,2,64,4.7",IPXX
Smartfon Apple iPhone 8 Plus 128 GB Srebrny  (MX252PM/A),2 755.99 z³,12,3,128,5.5",IPXX
Smartfon Apple iPhone 8 Plus 128 GB Z³oty  (MX262PM/A),2 770.16 z³,12,3,128,5.5",IPXX
Smartfon Apple iPhone 8 128 GB Szary  (MX162CN/A),2 833.95 z³,12,2,128,4.7",IPXX
Smartfon Apple iPhone 7 Plus 32 GB Czarny ,2 938.95 z³,12,2,32,5.5",IPXX
Smartfon Apple iPhone XR 64 GB Dual SIM Czerwony  (MRY62CN/A),3 146.85 z³,12,3,64,6.1",IP67
Smartfon Apple iPhone SE 2020 256 GB Dual SIM Czerwony  (MXVV2PM/A),3 006.99 z³,12,3,256,4.7",IP67
Smartfon Apple iPhone SE 2020 256 GB Dual SIM Bia³y  (MXVU2ET/A),3 006.99 z³,12,3,256,4.7",IP67
Smartfon Apple iPhone SE 2020 256 GB Dual SIM Czarny  (MXVT2ET/A),3 006.99 z³,12,3,256,4.7",IP67
Smartfon Apple iPhone 8 Plus 64 GB Srebrny  (MQ8M2PM/A),3 039.75 z³,12,3,64,5.5",IPXX
Smartfon Apple iPhone 8 Plus 128 GB Srebrny ,3 039.75 z³,12,3,128,5.5",IPXX
Smartfon Apple  iPhone XR 64 GB Dual SIM Czerwony  (MRY62PM/A),3 057.99 z³,12,3,64,6.1",IP67
Smartfon Apple  iPhone XR 64 GB Dual SIM Bia³y  (MRY52CN/A),3 082.99 z³,12,3,64,6.1",IP67
Smartfon Apple  iPhone XR 64 GB Dual SIM Koralowy ,3 091.20 z³,12,3,64,6.1",IP67
Smartfon Apple iPhone XS 64 GB Dual SIM Srebrny  (MT9F2ET/A),3 139 z³,12,4,64,5.8",IP68
